"id","collection","titre","publication","genre","age","nombre_pages","nombre_copies","titre_serie","nombre_serie","langue","resume","notes","auters","sujets","nombre_retrir"
16,"NEP","L'enfant qui parlait aux animaux",1949,"fiction","Jeunesse",86,1,,,"Français",,,"Dahl,Roald","animaux",0
11,"NEP","L'or de pizarre",1986,"fiction","Jeunesse",187,1,,,"Français",,,"Dujovne-Ortiz,Alicia;Berline,Jean-Claude","aventure;incas;amérique du sud;exploration",0
25,"NEP","La conspiration du harem",2005,"fiction","Jeunesse",180,1,"Hori: scribe et détective",,"Français",,,"Égémar,Béatrice","égypte;aventure",0
138,"NEP","Larousse anglais",2008,"Reférence","Adulte",790,,,,"Français",,,,"dictionnaire;français-anglais",0
51,"NEP","Le 8ieme pilote",1997,"Fiction","Jeunesse",64,1,"Michel Vaillant",,"Français",,,"Graton,Jean","aventure;bande dessinée;voitures",0
50,"NEP","Le galérien",1980,"Fiction","Jeunesse",48,1,"Michel Vaillant",,"Français",,,"Graton,Jean","aventure;bande dessinée;voitures",0
40,"NEP","Le gâteau",2001,"Fiction","Jeunesse",,1,,,"Français",,,"de Monfreid,Dorothée","animaux;gateau",0
61,"NEP","Le jardin de mon enfance",2000,"Fiction","Jeunesse",55,1,"blaireau",,"Français",,,"Bogacki,Tomek","animaux;amitié;jardin",0
45,"NEP","Le matin du monde",1988,"Fiction","Jeunesse",46,1,"Yoko Tsuno",,"Français",,,"Leloup,Roger","aventure;bande dessinée;dinosaurs;indonésie",0
142,"NEP","Le pagne noir: contes africains",1955,"Fiction","Adulte",158,1,,,"Français",,,"Dadié,Bernard","afrique;contes;nouvelles",0
27,"NEP","Le petit frère",2001,"fiction","Jeunesse",,1,,,"Français",,,"Ponti,Claude","livre d'enfants;livre d'images",0
137,"NEP","Le petit larousse illustré",2009,"Reférence","Adulte",1812,1,,,"Français",,,,"dictionnaire",0
53,"NEP","Le puits aux morts",1997,"Fiction","Jeunesse",46,1,"Le Roi Cyclope",,"Français",,,"Dethan,Isabelle","bande dessinée;horreur",0
15,"NEP","Le scarabée du cœur",2005,"fiction","Jeunesse",179,1,"Hori: scribe et détective",,"Français",,,"Égémar,Béatrice","égypte;aventure",0
3,"NEP","Les chats sacrés de bubastis",2005,"fiction","Jeunesse",186,1,"Hori: scribe et détective",,"Français",,,"Égémar,Béatrice","égypte;aventure",0
57,"NEP","Les disparus de l'aéropostale",1999,"Fiction","Jeunesse",37,1,,,"Français",,,"Grégroire,Fabaian","histoire;afrique;avions;compagnie générale aéropostale",0
52,"NEP","Les faiseurs de silence",1984,"Fiction","Jeunesse",46,1,"Aventures de Spirou et Fantasio",,"Français",,,"Nic,;Cauvin,","bande dessinée;humeurm crime",0
31,"NEP","Les masques d'auguste soleil",1999,"Documentaire","Jeunesse",,1,,,"Français",,,"Falda,Dominique","art;masques;auguste soleil;photographie",0
75,"NEP","Les personnages célèbres par les mots croisés",2001,"Ressources pour les Ensignants","Maitres",64,1,,,"Français",,"exercices amusantes pour reviser l'histoire","Lamblin,Christian","l'histoire;exercices",0
44,"NEP","Les pirates du silence et le quick super",1958,"Fiction","Jeunesse",62,1,"Aventures de Spirou et Fantasio",,"Français",,,,"bande dessinée;humeur;crime",0
71,"NEP","Let's sing and learn in french",1996,"Ressources pour les Ensignants","Maitres",63,1,,,"Français",,,"Maxwell,Matt","musique;apprendre français;chansons",0
19,"NEP","Manuel de la pampa",1974,"fiction","Jeunesse",215,1,,,"Français",,"fiction historique","Gor,Le;Dooz,Jena-Marie","amérique du sud;argentine;fiction historique;amitié",0
134,"NEP","Mathématiques 7e année",1990,"Livre scolaire","Jeunesse",191,10,"République du Mali Mathématiques",,"Français",,,"Almouloud,Saddo Ag;Augé,Elie","mathématiques",0
126,"NEP","Mathématiques 8e année",1991,"Livre scolaire","Jeunesse",206,10,"République du Mali Mathématiques",,"Français",,,"Almouloud,Saddo Ag;Augé,Elie","mathématiques",0
127,"NEP","Mathématiques 9e année",1991,"Livre scolaire","Jeunesse",223,10,"République du Mali Mathématiques",,"Français",,,"Traoré,Dramane","mathématiques",0
30,"NEP","Maxou mignon",1993,"Fiction","Jeunesse",,1,,,"Français",,,"Nadja,","chien;rhyme",0
24,"NEP","Minie malakoff direction port de la chapelle",1983,"fiction","Jeunesse",44,1,,,"Français",,,"Schwartz,Irène;Gay,Michel","aventure;animaux;souris",0
29,"NEP","Moi aussi, je veux maman!",2001,"Fiction","Jeunesse",,1,,,"Français",,,"Dubois,Claude;Stibane,","famille;hiver;écreuil",0
116,"NEP","Mon grand livre de chiffres",1989,"Documentaire","Jeunesse",45,1,,,"Français",,,"Michaut,Valérie","chiffres;compter;vocabulaire",0
82,"NEP","Mustang: fils du vent",2007,"Documentaire","Jeunesse",59,1,"ImagesDoc",,"Français",,,,"sciences;animaux;histoire;sport géographie;cheval;celtes;escrime;mondialisation;royaume-uni;nature",0
103,"NEP","Mystérieux ptérosaures",2007,"Documentaire","Jeunesse",57,1,"ImagesDoc",,"Français",,,,"sciences;animaux;histoire;nature;géographie;sport;politique;mare;ptérosaures;mexique;président",0
20,"NEP","Nés sous une mauvaise étoile",1999,"fiction","Jeunesse",142,1,"Le funeste destin des Baudelaire",1,"Français",,,"Snicket,Lemony","aventure",0
143,"NEP","Pages africaines 1",1963,"Fiction","Adulte",79,3,"Pages Africaines",,"Français",,,"Vézinet,P;Désamais,R ","afrique;contes;poésie;nouvelles;français;vocabulaire;compréhension;littérature;famille;école;amitié;jeux;chasse;pêche;travaux domestiques;eau;mer cleuves;rivières",0
